,,,,
,,,,
,,,,
Local,DIRECCION,Latitud,Longitud,NÚMERO
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",150
FACULTAD DE CIENCIAS SOCIALES,"CONSTITUYENTE 1502 ESQ. ANDRÉS MARTÍNEZ TRUEBA, Montevideo, Uruguay","-34,9061283","-56,1830344",151
FACULTAD DE CIENCIAS SOCIALES,"CONSTITUYENTE 1502 ESQ. ANDRÉS MARTÍNEZ TRUEBA, Montevideo, Uruguay","-34,9061283","-56,1830344",152
FACULTAD DE CIENCIAS SOCIALES,"CONSTITUYENTE 1502 ESQ. ANDRÉS MARTÍNEZ TRUEBA, Montevideo, Uruguay","-34,9061283","-56,1830344",153
ESCUELA DE ARTE Y ARTESANÍAS PEDRO FIGARI,"PEATONAL NTRA. SRA. DE LA ENCINA 1554 ESQ. SALTO, Montevideo, Uruguay","-34,9091905","-56,1813642",154
ESCUELA DE ARTE Y ARTESANÍAS PEDRO FIGARI,"PEATONAL NTRA. SRA. DE LA ENCINA 1554 ESQ. SALTO, Montevideo, Uruguay","-34,9091905","-56,1813642",155
ESPACIO CANDI,"MINAS 1219 ESQ. SORIANO, Montevideo, Uruguay","-34,9055016","-56,1851147",156
ESPACIO CANDI,"MINAS 1219 ESQ. SORIANO, Montevideo, Uruguay","-34,9055016","-56,1851147",157
ESPACIO CANDI,"MINAS 1219 ESQ. SORIANO, Montevideo, Uruguay","-34,9055016","-56,1851147",158
FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN  CENTRAL,"AV. GONZALO RAMÍREZ 1926 ESQ. EDUARDO ACEVEDO, Montevideo, Uruguay","-34,9119168","-56,1730729",159
FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN  CENTRAL,"AV. GONZALO RAMÍREZ 1926 ESQ. EDUARDO ACEVEDO, Montevideo, Uruguay","-34,9119168","-56,1730729",160
FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN  CENTRAL,"AV. GONZALO RAMÍREZ 1926 ESQ. EDUARDO ACEVEDO, Montevideo, Uruguay","-34,9119168","-56,1730729",161
FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN  CENTRAL,"AV. GONZALO RAMÍREZ 1926 ESQ. EDUARDO ACEVEDO, Montevideo, Uruguay","-34,9119168","-56,1730729",162
FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN  CENTRAL,"AV. GONZALO RAMÍREZ 1926 ESQ. EDUARDO ACEVEDO, Montevideo, Uruguay","-34,9119168","-56,1730729",163
FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN  CENTRAL,"AV. GONZALO RAMÍREZ 1926 ESQ. EDUARDO ACEVEDO, Montevideo, Uruguay","-34,9119168","-56,1730729",164
FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN  CENTRAL,"AV. GONZALO RAMÍREZ 1926 ESQ. EDUARDO ACEVEDO, Montevideo, Uruguay","-34,9119168","-56,1730729",165
FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN  CENTRAL,"AV. GONZALO RAMÍREZ 1926 ESQ. EDUARDO ACEVEDO, Montevideo, Uruguay","-34,9119168","-56,1730729",166
